pcon,lab_pc_17,cons_pc_17,lib_pc_17,refno,Constituency,Estimated Leave proportion,Known result,han_est_leave,Notes,Region,Errors,X10,index_mp,party,name_mp,brexit_vote,rebel,payroll,cabinet,lab_min_con_17,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000575,0.5594257472346434,0.3731466227347611,0.04582254648152506,73,Blyth Valley,0.5988035794,NA,0.5988035794,NA,North East,NA,NA,83,Lab,Mr Ronnie Campbell,Against,No,N,N,0.18627912449988232,Blyth Valley,0.318327974,0.317524116,0.132636656,0.054662379,0.156752412,NA,0.020096463,Lab
E14000576,0.24890948745910577,0.5895778158591681,0.06527496494781118,74,Bognor Regis and Littlehampton,0.6422377605,NA,0.6422377605,NA,South East,NA,NA,217,Con,Nick Gibb,For,No,Y,N,-0.34066832840006234,Bognor Regis and Littlehampton,0.417445483,0.151609554,0.167185878,0.063343718,0.174454829,NA,0.02596054,Lib Dem
E14000577,0.5192072056579032,0.405533222984157,0.029493325307938693,75,Bolsover,0.7027221264,NA,0.7027221264,NA,East Midlands,NA,NA,544,Lab,Mr Dennis Skinner,Against,No,N,N,0.11367398267374623,Bolsover,0.344413666,0.283471838,0.104339797,0.041551247,0.203139428,NA,0.023084026,Lab
E14000578,0.5061638226766705,0.4221277914259788,0.029125998716331362,76,Bolton North East,0.5776723522,NA,0.5776723522,NA,North West,NA,NA,120,Lab,Sir David Crausby,Against,No,N,N,0.0840360312506917,Bolton North East,0.343721357,0.315307058,0.133822182,0.043996334,0.140238314,NA,0.022914757,Lab
E14000579,0.6066677692980176,0.29652907402594336,0.01845332325213241,77,Bolton South East,0.6342168192,NA,0.6342168192,NA,North West,NA,NA,498,Lab,Yasmin Qureshi,Against,No,N,N,0.3101386952720742,Bolton South East,0.250517598,0.407867495,0.090062112,0.056935818,0.16873706,NA,0.025879917,Lab
E14000580,0.46074744388294747,0.4790809730873193,0.029086849218474556,78,Bolton West,0.5553871533,NA,0.5553871533,NA,North West,NA,NA,239,Con,Chris Green,Against,Yes,N,N,-0.018333529204371812,Bolton West,0.369385885,0.292392301,0.144821265,0.043996334,0.126489459,NA,0.022914757,Lab
E14000581,0.8403396436525612,0.12048600063633472,0.01664412981228126,79,Bootle,0.5487643903,NA,0.5487643903,NA,North West,NA,NA,158,Lab,Peter Dowd,Against,No,N,N,0.7198536430162265,Bootle,0.131687243,0.55829904,0.091906722,0.054869685,0.128943759,NA,0.034293553,Lab
E14000582,0.2495160801324658,0.6359989738566665,0.017980829776813825,80,Boston and Skegness,0.7496077813,NA,0.7496077813,NA,East Midlands,NA,NA,622,Con,Matt Warman,For,No,N,N,-0.3864828937242007,Boston and Skegness,0.487569061,0.136740332,0.114640884,0.045580111,0.180939227,NA,0.034530387,Lab
E14000583,0.24058182595071928,0.5672981056829511,0.17347956131605186,81,Bosworth,0.6079730392,NA,0.6079730392,NA,East Midlands,NA,NA,600,Con,David Tredinnick,For,No,N,N,-0.32671627973223183,Bosworth,0.448118586,0.144811859,0.204104903,0.052451539,0.122006842,NA,0.028506271,Lib Dem
E14000584,0.3555061911226295,0.5187584845119092,0.06516105146242132,82,Bournemouth East,0.5350713031,NA,0.5350713031,NA,South West,NA,NA,177,Con,Mr Tobias Ellwood,For,No,Y,N,-0.1632522933892797,Bournemouth East,0.392746114,0.207253886,0.189637306,0.07253886,0.111917098,NA,0.025906736,Lab
